Algiers	(36.752887, 3.0420480000000225)	undefined	Algiers, Algeria
Berlin	(52.519171, 13.406091199999992)	((52.33962959999999, 13.09116629999994), (52.6754542, 13.761117600000034))	Berlin, Germany
Frankfurt	(50.1109221, 8.682126700000026)	((50.0152145, 8.47272989999999), (50.2272095, 8.800397699999962))	Frankfurt, Germany
Hamburg	(53.5510846, 9.99368179999999)	((53.3951194, 9.73013160000005), (53.7394338, 10.32528000000002))	Hamburg, Germany
Munich	(48.1366069, 11.577085099999977)	((48.0616018, 11.360795999999937), (48.2482197, 11.722875499999986))	Munich, Germany
Nuremberg	(49.45203, 11.076749999999947)	((49.3314338, 10.988732700000014), (49.5407533, 11.282595600000036))	Nuremberg, Germany
Greater Athens	(41.5100018, -87.67865159999997)	((41.509682, -87.6799825), (41.5103269, -87.67436889999999))	Athens Rd, Olympia Fields, IL 60461, USA
Budapest	(47.4984056, 19.040757799999938)	((47.351501, 18.925168999999983), (47.613362, 19.333915899999965))	Budapest, Hungary
Bangalore	(12.9715987, 77.59456269999998)	((12.7342888, 77.37919809999994), (13.173706, 77.88268089999997))	Bangalore, Karnataka, India
Chennai	(13.060422, 80.24958300000003)	((12.9459267, 80.1487826), (13.2340852, 80.33229119999999))	Chennai, Tamil Nadu, India
Delhi	(28.635308, 77.22496000000001)	((28.4221974, 76.85382849999996), (28.8822535, 77.34169930000007))	New Delhi, Delhi, India
Kolkata	(22.572646, 88.36389499999996)	((22.3435662, 88.19403520000003), (22.7715918, 88.54431160000001))	Kolkata, West Bengal, India
Mashhad	(36.3, 59.60000000000002)	((36.1628106, 59.36563160000003), (36.469991, 59.733009400000014))	Mashhad, Iran
Tehran	(35.6961111, 51.4230556)	((35.4923498, 51.09329219999995), (35.8498733, 51.687240599999996))	Tehran, Iran
Catania	(37.5080386, 15.08285120000005)	((37.4205463, 15.028614400000038), (37.560876, 15.125929400000018))	Catania, Province of Catania, Italy
Genoa	(44.4056499, 8.946255999999948)	((44.3791252, 8.716091199999937), (44.514882, 9.065572999999972))	Genoa, Italy
Milan	(45.4654542, 9.186515999999983)	((45.3921679, 9.065897500000005), (45.5359728, 9.277915300000018))	Milan, Italy
Naples	(26.1420358, -81.7948103)	((26.0789881, -81.81699730000003), (26.211242, -81.766661))	Naples, FL, USA
Rome	(41.9015141, 12.460773700000004)	((41.7665669, 12.341707000000042), (42.0505462, 12.73028880000004))	Rome, Italy
Turin	(45.0629022, 7.6784897)	((45.00677659999999, 7.577850200000057), (45.1335014, 7.762328199999956))	Turin, Italy
Fukuoka	(33.5903547, 130.40171550000002)	((33.4251209, 130.0327989), (33.874113, 130.49528529999998))	Fukuoka, Fukuoka Prefecture, Japan
Kobe	(34.690083, 135.19551120000006)	((34.6143838, 134.90991050000002), (34.8906619, 135.30495359999998))	Kobe, Hyogo Prefecture, Japan
Kyoto	(35.0116363, 135.76802939999993)	((34.8748597, 135.55898419999994), (35.3211894, 135.87877479999997))	Kyoto, Kyoto Prefecture, Japan
